Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
3106,23/01/2012,41,25,39,17,38,10,2,44,1,0,2000000.00,2000000.00,9,2,53950.50,5994.50,189,25,98913.15,523.35,8967,1353,280667.10,31.30,22175,3263,386953.75,17.45
3104,16/01/2012,31,38,37,12,7,18,41,44,2,1,2000000.00,1000000.00,10,0,53229.00,5322.90,249,54,97583.10,391.90,11038,1570,277053.80,25.10,22976,3511,381401.60,16.60
3102,09/01/2012,10,9,39,29,40,8,3,28,1,1,1000000.00,1000000.00,10,0,50499.00,5049.90,248,31,92578.40,373.30,10921,1316,262650.05,24.05,28209,3578,362485.65,12.85
3100,02/01/2012,20,44,15,36,12,40,32,8,0,0,0.00,0.00,8,1,47423.20,5927.90,174,20,86939.10,499.65,11889,1389,246696.75,20.75,22856,2533,339411.60,14.85
3098,26/12/2011,26,1,45,29,38,33,24,42,0,0,0.00,0.00,6,2,43219.80,7203.30,92,15,79235.00,861.25,6776,809,224624.40,33.15,17378,1886,309328.40,17.80
3096,19/12/2011,1,43,11,4,21,29,31,5,2,0,1000000.00,500000.00,14,2,48589.80,3470.70,273,31,89079.90,326.30,12359,1541,252741.55,20.45,32321,3754,347450.75,10.75
3094,12/12/2011,38,13,24,23,39,43,3,22,1,0,3000000.00,3000000.00,8,0,54639.60,6829.95,176,27,100170.40,569.15,9639,1500,284350.50,29.50,29348,4111,391795.80,13.35
3092,05/12/2011,32,9,13,43,38,44,15,33,0,0,0.00,0.00,4,2,48453.40,12113.35,130,24,88829.00,683.30,7758,1119,252135.00,32.50,19938,2837,346921.20,17.40
3090,28/11/2011,39,17,8,22,19,42,2,16,2,0,3000000.00,1500000.00,22,2,58786.20,2672.10,234,23,107780.40,460.60,12218,1668,305450.00,25.00,31016,4275,421817.60,13.60
3088,21/11/2011,35,42,29,15,33,18,14,30,0,0,0.00,0.00,9,0,50494.50,5610.50,197,29,92570.30,469.90,9805,1357,262774.00,26.80,22026,3107,362327.70,16.45
3086,14/11/2011,13,16,23,43,20,35,42,12,0,0,0.00,0.00,12,4,51301.80,4275.15,168,22,94054.80,559.85,9798,1471,266995.50,27.25,22406,3553,367458.40,16.40
3084,07/11/2011,31,22,6,30,33,7,44,29,0,0,0.00,0.00,13,3,68326.05,5255.85,257,54,125261.80,487.40,12764,2676,355477.40,27.85,32007,5771,489707.10,15.30
3082,31/10/2011,1,29,41,30,25,13,18,44,0,0,0.00,0.00,11,2,56468.50,5133.50,171,30,103523.40,605.40,10558,1542,293512.40,27.80,26272,3771,404588.80,15.40
3080,24/10/2011,5,9,23,36,32,35,6,40,0,0,0.00,0.00,12,1,48231.00,4019.25,218,24,88420.80,405.60,10202,1241,250969.20,24.60,23066,2971,345990.00,15.00
3078,17/10/2011,27,5,8,19,24,28,7,20,3,0,1000000.02,333333.34,18,3,48504.60,2694.70,311,70,88930.45,285.95,14201,1858,252067.75,17.75,34787,4257,347870.00,10.00
3076,10/10/2011,35,20,26,42,1,12,28,24,0,0,0.00,0.00,8,1,58678.00,7334.75,177,28,107580.60,607.80,10873,1763,304987.65,28.05,29234,4421,420969.60,14.40
3074,03/10/2011,36,30,23,32,34,20,5,25,0,0,0.00,0.00,10,1,44275.50,4427.55,225,29,81168.75,360.75,9370,1217,230033.50,24.55,20783,2937,316940.75,15.25
3072,26/09/2011,44,5,13,29,33,23,12,11,3,1,1000000.02,333333.34,22,4,50781.50,2308.25,281,39,93095.30,331.30,12248,1600,263944.40,21.55,32454,4008,363484.80,11.20
3070,19/09/2011,33,17,30,4,34,35,14,22,0,0,0.00,0.00,14,2,52331.30,3737.95,137,22,95941.10,700.30,9241,1295,272147.45,29.45,25143,3547,374630.70,14.90
3068,12/09/2011,9,22,10,44,16,41,23,17,1,0,2000000.00,2000000.00,10,3,53662.50,5366.25,190,38,98382.00,517.80,8925,1242,278906.25,31.25,23226,3489,384390.30,16.55
3066,05/09/2011,1,21,40,38,32,6,29,17,2,0,2000000.00,1000000.00,16,2,57225.60,3576.60,215,33,104909.25,487.95,11694,1509,297612.30,25.45,27226,3641,409751.30,15.05
3064,29/08/2011,26,34,17,28,1,9,45,2,1,0,3000000.00,3000000.00,14,2,60837.00,4345.50,306,44,111537.00,364.50,12559,1898,316486.80,25.20,28060,4784,436333.00,15.55
3062,22/08/2011,13,8,40,32,45,30,26,5,0,0,0.00,0.00,10,3,50568.50,5056.85,143,28,92706.90,648.30,9132,1370,263001.60,28.80,24938,3529,362847.90,14.55
3060,15/08/2011,29,6,23,40,41,10,22,45,1,0,3427023.70,3427023.70,9,0,61776.45,6864.05,235,29,113258.25,481.95,11523,1771,321491.70,27.90,26733,4633,442431.15,16.55
3058,08/08/2011,43,41,30,22,14,23,38,26,0,0,0.00,0.00,9,2,122409.90,13601.10,159,25,224412.60,1411.40,9965,1495,636763.50,63.90,27767,4191,877437.20,31.60
3056,01/08/2011,17,38,25,8,30,6,29,13,0,0,0.00,0.00,14,2,68050.50,4860.75,260,64,124761.00,479.85,13294,2180,353620.40,26.60,35208,5753,487630.80,13.85
3054,25/07/2011,45,17,39,23,34,32,33,19,0,0,0.00,0.00,7,1,57178.10,8168.30,160,32,104824.00,655.15,8585,1455,297470.25,34.65,24278,4091,410298.20,16.90
3052,18/07/2011,30,17,34,5,27,21,9,14,0,0,0.00,0.00,12,1,49030.80,4085.90,226,18,89891.50,397.75,11541,1252,255056.10,22.10,30981,3538,351634.35,11.35
3050,11/07/2011,14,40,20,38,27,35,16,1,0,0,0.00,0.00,14,4,47563.60,3397.40,214,23,87194.30,407.45,9276,1143,247205.40,26.65,21503,2635,340822.55,15.85
3048,04/07/2011,23,2,24,30,45,15,21,36,2,0,5000000.00,2500000.00,13,4,70402.80,5415.60,177,43,129068.40,729.20,11615,2150,365872.50,31.50,31681,5787,505311.95,15.95
3046,27/06/2011,6,30,14,40,27,5,43,31,0,0,0.00,0.00,18,2,54134.10,3007.45,220,35,99242.00,451.10,11888,1713,281745.60,23.70,24655,3805,388316.25,15.75
3044,20/06/2011,11,40,43,13,33,45,44,42,1,1,3000000.00,3000000.00,9,1,54655.65,6072.85,208,43,100204.00,481.75,9480,1540,284400.00,30.00,26364,4452,391505.40,14.85
3042,13/06/2011,1,27,6,40,34,38,7,11,0,0,0.00,0.00,9,2,42324.30,4702.70,136,25,77594.80,570.55,7482,1080,219970.80,29.40,23217,3233,302981.85,13.05
3040,06/06/2011,9,31,14,38,28,37,35,12,1,0,3000000.00,3000000.00,11,1,54355.40,4941.40,173,18,99648.00,576.00,9552,992,282739.20,29.60,25753,2734,390157.95,15.15
3038,30/05/2011,41,21,5,16,17,13,45,24,0,0,0.00,0.00,11,2,50004.35,4545.85,174,17,91671.90,526.85,10321,1287,260089.20,25.20,24426,3612,357840.90,14.65
3036,23/05/2011,42,33,26,38,22,21,10,20,1,0,1000000.00,1000000.00,8,1,52812.80,6601.60,159,23,96823.05,608.95,9366,1202,274423.80,29.30,24142,2918,379029.40,15.70
3034,16/05/2011,22,3,10,26,12,1,20,19,3,0,1000000.02,333333.34,24,1,49658.40,2069.10,367,30,91034.35,248.05,15043,1668,257987.45,17.15,34606,3920,356441.80,10.30
3032,09/05/2011,7,2,30,3,28,4,21,37,3,0,1000000.02,333333.34,15,0,51019.50,3401.30,301,35,93535.75,310.75,14773,1561,265175.35,17.95,30492,3398,365904.00,12.00
3030,02/05/2011,10,11,1,27,7,5,38,30,2,0,1000000.00,500000.00,31,1,51088.00,1648.00,616,78,93662.80,152.05,22426,2385,265748.10,11.85,35548,3995,366144.40,10.30
3028,25/04/2011,4,21,2,15,40,33,23,8,1,0,1000000.00,1000000.00,12,2,38830.20,3235.85,151,9,71188.95,471.45,7576,707,201900.40,26.65,20862,2019,278507.70,13.35
3026,18/04/2011,35,23,5,27,8,15,45,14,3,0,1000000.02,333333.34,9,2,49207.95,5467.55,305,29,90219.00,295.80,13223,1395,255865.05,19.35,26698,3496,352413.60,13.20
